title,company,seniority,role_family,skills
Senior AI BI Engineer – Azure GenAI & LLMs,Ma'aden Aluminium Company (MAC),Senior,Data Scientist,GenAI / LLMs
Data Architect,Dammam Analytics Group,Senior,Other Data Role,SQL
Data Architect,Dammam Analytics Group,Senior,Other Data Role,AWS
Data Architect,Dammam Analytics Group,Senior,Other Data Role,Azure
Data Architect,Dammam Analytics Group,Senior,Other Data Role,GCP
Data Architect,Dammam Analytics Group,Senior,Other Data Role,ETL
Data Architect,Dammam Analytics Group,Senior,Other Data Role,Data Warehousing
Data Architect,Dammam Analytics Group,Senior,Other Data Role,NoSQL
Data Architect,Dammam Analytics Group,Senior,Other Data Role,Data Governance
Data Architect,Dammam Analytics Group,Senior,Other Data Role,Communication
Machine Learning Engineeir,Company,Mid,Data Scientist,Machine Learning
Machine Learning Engineeir,Company,Mid,Data Scientist,Deep Learning
"Full Stack Machine Learning Engineer (Datacentre AI Engineering) - Riyadh, KSA",Qualcomm,Senior,Data Scientist,Python
"Full Stack Machine Learning Engineer (Datacentre AI Engineering) - Riyadh, KSA",Qualcomm,Senior,Data Scientist,Java
"Full Stack Machine Learning Engineer (Datacentre AI Engineering) - Riyadh, KSA",Qualcomm,Senior,Data Scientist,Machine Learning
"Full Stack Machine Learning Engineer (Datacentre AI Engineering) - Riyadh, KSA",Qualcomm,Senior,Data Scientist,GenAI / LLMs
"Full Stack Machine Learning Engineer (Datacentre AI Engineering) - Riyadh, KSA",Qualcomm,Senior,Data Scientist,Docker/K8s
"Full Stack Machine Learning Engineer (Datacentre AI Engineering) - Riyadh, KSA",Qualcomm,Senior,Data Scientist,Dashboards/Reporting
ML Scientist - Financial Forecasting & MLOps,Silver Edge Arabia,Mid,Other Data Role,Machine Learning
ML Scientist - Financial Forecasting & MLOps,Silver Edge Arabia,Mid,Other Data Role,Dashboards/Reporting
ML Scientist – Financial Forecasting & MLOps,Silver Edge Arabia,Mid,Other Data Role,Machine Learning
ML Scientist – Financial Forecasting & MLOps,Silver Edge Arabia,Mid,Other Data Role,Dashboards/Reporting
"Cloud Machine Learning Engineer - Riyadh, KSA","Qualcomm Technologies, Inc",Mid,Data Scientist,Python
"Cloud Machine Learning Engineer - Riyadh, KSA","Qualcomm Technologies, Inc",Mid,Data Scientist,Java
"Cloud Machine Learning Engineer - Riyadh, KSA","Qualcomm Technologies, Inc",Mid,Data Scientist,Machine Learning
"Cloud Machine Learning Engineer - Riyadh, KSA","Qualcomm Technologies, Inc",Mid,Data Scientist,Deep Learning
"Cloud Machine Learning Engineer - Riyadh, KSA","Qualcomm Technologies, Inc",Mid,Data Scientist,NLP
"Cloud Machine Learning Engineer - Riyadh, KSA","Qualcomm Technologies, Inc",Mid,Data Scientist,GenAI / LLMs
